CityId,CityName,WheatAreaDefault,WheatProfitDefault,WheatYieldDefault,BarleyAreaDefault,BarleyProfitDefault,BarleyYieldDefault,OatAreaDefault,OatProfitDefault,OatYieldDefault,CottonAreaDefault,CottonProfitDefault,CottonYieldDefault,SoybeanAreaDefault,SoybeanProfitDefault,SoybeanYieldDefault,TomatoAreaDefault,TomatoProfitDefault,TomatoYieldDefault,CanolaAreaDefault,CanolaProfitDefault,CanolaYieldDefault,PotatoAreaDefault,PotatoProfitDefault,PotatoYieldDefault,SugarbeetAreaDefault,SugarbeetProfitDefault,SugarbeetYieldDefault,OnionAreaDefault,OnionProfitDefault,OnionYieldDefault,BeanAreaDefault,BeanProfitDefault,BeanYieldDefault,LentilAreaDefault,LentilProfitDefault,LentilYieldDefault,ChickpeaAreaDefault,ChickpeaProfitDefault,ChickpeaYieldDefault,PeanutAreaDefault,PeanutProfitDefault,PeanutYieldDefault,RiceAreaDefault,RiceProfitDefault,RiceYieldDefault,CornAreaDefault,CornProfitDefault,CornYieldDefault,SunflowerAreaDefault,SunflowerProfitDefault,SunflowerYieldDefault
1,ADANA,1193680,-233937406,348554560,29670,-10182744,7862550,110,-19657,30580,270330,788001138,133543020,219120,-66730804,96851040,0,0,0,30,9159,10410,45080,72790676,158411120,0,0,0,29770,176940972,99104330,70,60227,18970,0,0,0,3050,18910,375150,290580,465567276,114488520,0,0,0,726310,-53637997,683457710,490790,429598303,143310680
2,ADIYAMAN,503130,-98603418,146913960,434970,-149281704,115267050,380,-67906,105640,49900,145456503,24650600,0,0,0,100,-22925,724400,0,0,0,1060,1711582,3724840,3370,1051002,23071020,2230,13254228,7423670,7650,6581906,2073150,13180,1923623,2069260,205000,1271000,25215000,0,0,0,0,0,0,39410,-2910431,37084810,2940,2573441,858480
3,AFYONKARAHİSAR,1084690,-212577544,316729480,1115220,-382743504,295533300,32530,-5813111,9043340,0,0,0,230,-70044,101660,20,-4585,144880,1920,586176,666240,136960,221149312,481277440,158100,49306645,1082352600,6790,40357044,22603910,9780,8414517,2650380,0,0,0,16080,99696,1977840,0,0,0,0,0,0,24490,-1808590,23045090,58510,51214973,17084920
4,AĞRI,1306130,-255975357,381389960,986640,-338614848,261459600,4440,-793428,1234320,0,0,0,0,0,0,0,0,0,0,0,0,820,1324054,2881480,57390,17898220,392891940,0,0,0,0,0,0,6960,1015812,1092720,16240,100688,1997520,0,0,0,0,0,0,0,0,0,35550,31117626,10380600
5,AMASYA,714770,-140080625,208712840,178040,-61103328,47180600,2660,-475342,739480,0,0,0,60,-18272,26520,980,-224665,7099120,0,0,0,7240,11690428,25441360,44960,14021674,307796160,58430,347284548,194513470,2150,1849818,582650,0,0,0,9410,58342,1157430,0,0,0,1320,1118767,1032240,50200,-3707272,47238200,112600,98561032,32879200
6,ANKARA,2589020,-507396140,755993840,2267780,-778302096,600961700,117260,-20954362,32598280,0,0,0,140,-42635,61880,470,-107747,3404680,11900,3633070,4129300,6850,11060695,24070900,118790,37047037,813236340,137870,819444132,458969230,3740,3217820,1013540,17630,2573100,2767910,634110,3931482,77995530,0,0,0,1690,1432360,1321580,26810,-1979921,25228210,30040,26294614,8771680
7,ANTALYA,449820,-88155725,131347440,290530,-99709896,76990450,17260,-3084362,4798280,27830,81123337,13748020,0,0,0,780,-178815,5650320,0,0,0,3580,5780626,12580120,14940,4659338,102279240,1610,9569196,5359690,4050,3484539,1097550,0,0,0,64460,399652,7928580,6730,10782806,2651620,0,0,0,24220,-1788650,22791020,2740,2398376,800080
8,ARTVİN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,AYDIN,293080,-57437818,85579360,77670,-26656344,20582550,1330,-237671,369740,673880,1964333245,332896720,270,-82226,119340,27830,-6380029,201600520,0,0,0,5160,8331852,18132240,0,0,0,30,178308,99870,1260,1084079,341460,0,0,0,380,2356,46740,38960,62421712,15350240,0,0,0,139420,-10296169,131194220,7380,6459862,2154960
10,BALIKESİR,1541810,-302163923,450208520,188510,-64696632,49955150,69740,-12462538,19387720,19850,57861956,9805900,10,-3045,4420,99410,-22789744,720126040,12760,3895628,4427720,3930,6345771,13810020,1580,492755,10816680,13740,81665064,45740460,23470,20193117,6360370,0,0,0,34950,216690,4298850,120,192264,47280,167130,141651032,130695660,30980,-2287876,29152180,186590,163325959,54484280
