CityId,DistrictId,CityName,DistrictName,WheatAreaDefault,WheatProfitDefault,WheatYieldDefault,BarleyAreaDefault,BarleyProfitDefault,BarleyYieldDefault,OatAreaDefault,OatProfitDefault,OatYieldDefault,CottonAreaDefault,CottonProfitDefault,CottonYieldDefault,SoybeanAreaDefault,SoybeanProfitDefault,SoybeanYieldDefault,TomatoAreaDefault,TomatoProfitDefault,TomatoYieldDefault,CanolaAreaDefault,CanolaProfitDefault,CanolaYieldDefault,PotatoAreaDefault,PotatoProfitDefault,PotatoYieldDefault,SugarbeetAreaDefault,SugarbeetProfitDefault,SugarbeetYieldDefault,OnionAreaDefault,OnionProfitDefault,OnionYieldDefault,BeanAreaDefault,BeanProfitDefault,BeanYieldDefault,LentilAreaDefault,LentilProfitDefault,LentilYieldDefault,ChickpeaAreaDefault,ChickpeaProfitDefault,ChickpeaYieldDefault,PeanutAreaDefault,PeanutProfitDefault,PeanutYieldDefault,RiceAreaDefault,RiceProfitDefault,RiceYieldDefault,CornAreaDefault,CornProfitDefault,CornYieldDefault,SunflowerAreaDefault,SunflowerProfitDefault,SunflowerYieldDefault
31,15,HATAY,YAYLADAĞI,11870,-2326283,3466040,7480,-2567136,1982200,160,-28592,44480,0,0,0,0,0,0,80,-18340,579520,0,0,0,0,0,0,0,0,0,80,475488,266320,0,0,0,20,2919,3140,10,62,1230,0,0,0,0,0,0,10,-739,9410,0,0,0
31,17,HATAY,ALTINÖZÜ,129700,-25418606,37872400,2200,-755040,583000,0,0,0,12440,36262102,6145360,0,0,0,1400,-320950,10141600,0,0,0,0,0,0,0,0,0,6100,36255960,20306900,0,0,0,0,0,0,1360,8432,167280,0,0,0,0,0,0,80,-5908,75280,0,0,0
31,20,HATAY,DEFNE,24700,-4840706,7212400,0,0,0,1180,-210866,328040,0,0,0,0,0,0,370,-84822,2680280,0,0,0,110,177617,386540,0,0,0,0,0,0,0,0,0,0,0,0,220,1364,27060,180,288396,70920,0,0,0,0,0,0,0,0,0
33,25,MERSİN,AYDINCIK,210,-41156,61320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,62,1230,0,0,0,0,0,0,0,0,0,0,0,0
31,26,HATAY,SAMANDAĞ,16230,-3180755,4739160,0,0,0,60,-10722,16680,0,0,0,0,0,0,0,0,0,0,0,0,510,823497,1792140,0,0,0,600,3566160,1997400,0,0,0,0,0,0,30,186,3690,690,1105518,271860,0,0,0,330,-24371,310530,0,0,0
31,28,HATAY,REYHANLI,61180,-11990056,17864560,190,-65208,50350,0,0,0,80220,233838091,39628680,40,-12182,17680,1900,-435575,13763600,0,0,0,19000,30679300,66766000,0,0,0,42220,250938792,140550380,30,25811,8130,0,0,0,10,62,1230,8390,13442458,3305660,0,0,0,42460,-3135671,39954860,30,26260,8760
31,30,HATAY,ANTAKYA,77570,-15202169,22650440,480,-164736,127200,280,-50036,77840,83600,243690656,41298400,520,-158361,229840,320,-73360,2318080,0,0,0,1770,2858019,6219780,0,0,0,2110,12540996,7024190,40,34415,10840,0,0,0,270,1674,33210,310,496682,122140,0,0,0,52990,-3913312,49863590,110,96285,32120
33,31,MERSİN,BOZYAZI,610,-119548,178120,30,-10296,7950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,1364,27060,20,32044,7880,0,0,0,0,0,0,0,0,0
31,32,HATAY,KUMLU,38440,-7533471,11224480,0,0,0,0,0,0,63160,184108874,31201040,0,0,0,0,0,0,0,0,0,4260,6878622,14969640,0,0,0,13460,80000856,44808340,0,0,0,0,0,0,0,0,0,3010,4822622,1185940,0,0,0,19270,-1423090,18133070,0,0,0
7,34,ANTALYA,DEMRE,1470,-288091,429240,270,-92664,71550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
