CityId,DistrictId,CityName,DistrictName,WheatYield,BarleyYield,OatYield,CottonYield,SoybeanYield,TomatoYield,CanolaYield,PotatoYield,SugarbeetYield,OnionYield,BeanYield,LentilYield,ChickpeaYield,PeanutYield,RiceYield,CornYield,SunflowerYield
31,15,HATAY,YAYLADA?I,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
31,17,HATAY,ALTINÖZÜ,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
31,20,HATAY,DEFNE,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
33,25,MERS?N,AYDINCIK,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
31,26,HATAY,SAMANDA?,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
31,28,HATAY,REYHANLI,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
31,30,HATAY,ANTAKYA,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
33,31,MERS?N,BOZYAZI,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
31,32,HATAY,KUMLU,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
7,34,ANTALYA,DEMRE,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
33,36,MERS?N,ANAMUR,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
31,37,HATAY,BELEN,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
7,38,ANTALYA,GAZ?PA?A,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
31,39,HATAY,ARSUZ,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
33,40,MERS?N,GÜLNAR,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
7,43,ANTALYA,F?N?KE,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
31,44,HATAY,KIRIKHAN,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
31,45,HATAY,?SKENDERUN,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
7,47,ANTALYA,KA?,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
70,49,KARAMAN,SARIVEL?LER,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
1,51,ADANA,KARATA?,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
31,52,HATAY,PAYAS,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
7,54,ANTALYA,KEMER,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
