CityId,DistrictId,CityName,DistrictName,MinWheatArea,MinBarleyArea,MinSunflowerArea,MinRiceArea,MinLentilArea,MinChickpeaArea,MinCottonArea,MinSugarbeetArea,MinSoybeanArea,MinPeanutArea,MinOatArea,MinPotatoArea,MinCornArea,MinCanolaArea,MinOnionArea,MinBeanArea,MinTomatoArea
1,225,ADANA,ALADAG,31500,2030,7168,0,0,883,0,0,0,0,0,0,112,0,0,46,176
1,132,ADANA,CEYHAN,90171,1400,151210,0,0,1766,264144,0,22177,56277,0,4900,210047,0,2191,35,226
1,113,ADANA,CUKUROVA,13160,2450,27182,0,0,0,155,0,258,1376,0,525,4813,0,210,140,70
1,291,ADANA,FEKE,22680,2333,0,0,0,146,0,0,0,0,0,0,90,0,0,1400,914
1,165,ADANA,IMAMOGLU,92061,345,105398,0,0,25,16321,0,4932,2951,120,1366,12083,0,389,0,0
1,170,ADANA,KARAISALI,63700,2450,55753,0,0,59,11,0,579,350,120,21,9168,0,25,175,92
1,51,ADANA,KARATAS,55218,107,0,0,0,0,267252,0,24426,31500,0,245,30209,0,630,0,12628
1,239,ADANA,KOZAN,145753,2125,79384,0,0,1103,16708,0,18847,14280,0,0,62133,0,1120,294,144
1,210,ADANA,POZANTI,1553,840,0,0,0,559,0,0,0,0,0,0,0,0,0,322,28
1,303,ADANA,SAIMBEYLI,27300,3500,0,0,0,589,0,0,0,0,0,350,64,0,70,1225,1545
1,131,ADANA,SARICAM,151039,1420,94865,0,0,648,12974,0,1929,4340,105,9450,16199,20,5023,0,174
1,105,ADANA,SEYHAN,17150,27,48,0,0,0,34339,0,21223,7350,0,4200,50214,0,3696,881,154
1,351,ADANA,TUFANBEYLI,106400,12950,0,0,0,20609,0,3017,0,0,0,6300,154,0,35,6160,351
1,75,ADANA,YUMURTALIK,66640,1820,60836,0,0,87,48865,0,6425,8295,0,6356,16636,0,1138,161,931
1,104,ADANA,YUREGIR,61628,1551,8972,0,0,0,126034,0,41481,22750,0,13020,97301,0,11200,0,6428
2,233,ADIYAMAN,BESNI,68839,59101,8,0,2450,46547,108765,0,0,0,0,525,15331,0,137,0,560
2,307,ADIYAMAN,CELIKHAN,105,60,0,0,0,0,0,0,0,0,0,11,1250,0,161,735,175
2,331,ADIYAMAN,GERGER,34916,2941,0,0,53,778,23,0,0,0,0,0,204,0,171,78,294
2,265,ADIYAMAN,GOLBASI,22492,20285,896,0,357,4476,0,21,0,0,0,0,1187,0,20,91,249
2,285,ADIYAMAN,KAHTA,108776,143896,0,0,140,67717,8079,0,0,0,0,0,2940,0,56,0,182
2,279,ADIYAMAN,MERKEZ,144955,114820,0,0,1225,97536,19811,0,0,0,0,81,7615,0,310,140,92
2,220,ADIYAMAN,SAMSAT,10264,17798,0,0,0,10010,14761,0,0,0,0,0,0,0,0,0,0
2,314,ADIYAMAN,SINCIK,16191,2972,0,0,35,116,0,0,0,0,0,0,354,0,0,13,53
2,263,ADIYAMAN,TUT,7046,3409,0,0,15,1131,393,0,0,0,0,0,719,0,196,238,136
3,290,AFYONKARAHISAR,BASMAKCI,24859,14193,322,0,0,18,0,160,0,0,41,0,3780,0,14,116,112
3,530,AFYONKARAHISAR,BAYAT,18271,10315,39,0,0,754,0,0,0,0,875,84,130,0,36,65,63
3,479,AFYONKARAHISAR,BOLVADIN,21596,82671,22,0,28,701,0,14909,0,0,20,6300,3850,0,14,315,210
3,426,AFYONKARAHISAR,CAY,70193,42434,209,0,14,351,0,0,244,0,4526,910,5169,0,35,455,112
3,461,AFYONKARAHISAR,COBANLAR,18008,14980,179,0,0,0,0,0,0,0,0,1400,3850,0,0,0,176
3,299,AFYONKARAHISAR,DAZKIRI,24142,19912,5514,0,0,0,0,333,0,0,154,14,3866,0,15,245,123
3,365,AFYONKARAHISAR,DINAR,136284,72634,11265,0,89,618,0,8173,0,0,945,12250,4009,0,370,806,749
3,545,AFYONKARAHISAR,EMIRDAG,162998,163554,24248,0,42,3284,0,63505,0,0,5103,7560,17919,1130,560,112,280
3,321,AFYONKARAHISAR,EVCILER,34792,11736,10677,0,0,27,0,449,0,0,665,0,5261,0,7,1,7
3,454,AFYONKARAHISAR,HOCALAR,15878,8995,21,0,11,1119,0,0,0,0,463,91,37,0,7,189,119
3,541,AFYONKARAHISAR,IHSANIYE,143424,23642,1985,0,35,1374,0,203,0,0,8525,4130,1400,0,65,169,54
3,508,AFYONKARAHISAR,ISCEHISAR,37426,1975,79,0,20,168,0,0,0,0,1646,32,137,5,32,252,420
3,352,AFYONKARAHISAR,KIZILOREN,12404,11477,0,0,0,131,0,0,0,0,318,1925,28,0,58,20,27
3,493,AFYONKARAHISAR,MERKEZ,143411,50604,3750,0,161,2283,0,7067,0,0,9151,7770,9509,0,805,1897,1702
3,437,AFYONKARAHISAR,SANDIKLI,87893,108906,1702,0,739,4325,0,5999,0,0,3876,29925,3596,0,6892,730,1070
3,485,AFYONKARAHISAR,SINANPASA,67809,26500,913,0,1543,3222,0,18,0,0,6064,2182,7000,0,301,1365,267
3,417,AFYONKARAHISAR,SUHUT,71133,16787,380,0,6,876,0,2666,0,0,2590,24850,2485,0,109,3332,105
3,459,AFYONKARAHISAR,SULTANDAGI,70023,35893,0,0,56,53,0,0,0,0,225,91,91,0,4,210,84
4,647,AGRI,DIYADIN,82600,14322,0,0,21,0,0,0,0,0,0,1,0,0,0,0,34
4,674,AGRI,DOGUBAYAZIT,93275,39900,0,0,144,0,0,0,0,0,0,0,70,0,8,0,0
4,694,AGRI,ELESKIRT,82648,65335,248,0,27,170,0,4360,0,0,215,0,655,0,4,11,25
4,631,AGRI,HAMUR,40600,13650,0,0,0,0,0,0,0,0,0,14,0,0,7,28,35
4,712,AGRI,MERKEZ,78439,95530,2745,0,265,95,0,658,0,0,637,105,2100,0,84,175,44
4,599,AGRI,PATNOS,91572,56154,941,0,280,236,0,10472,0,0,0,175,1050,0,7,35,14
4,676,AGRI,TASLICAY,59203,37874,0,0,91,127,0,551,0,0,0,0,0,0,30,60,11
4,634,AGRI,TUTAK,99418,39383,15138,0,1567,743,0,0,0,0,0,0,0,0,36,31,34
68,473,AKSARAY,AGACOREN,35400,50844,361,0,0,4122,0,250,0,0,515,105,231,0,0,175,281
68,412,AKSARAY,ESKIL,105709,46200,30454,0,0,0,0,49010,0,0,0,3290,93827,0,0,0,700
68,373,AKSARAY,GULAGAC,44669,21954,0,0,210,1766,0,1988,0,0,452,5600,1400,0,77,3089,110
68,345,AKSARAY,GUZELYURT,25803,21727,0,0,0,4764,0,0,0,0,0,12600,245,0,98,1092,20
68,418,AKSARAY,MERKEZ,217184,313082,61574,0,175,24746,0,23982,0,0,993,15120,33593,0,1201,3322,14372
68,475,AKSARAY,ORTAKOY,17919,124618,373,0,70,17077,0,6570,0,0,0,2660,840,0,595,2555,665
68,490,AKSARAY,SARIYAHSI,16652,6616,0,0,0,2336,0,1558,0,0,0,0,14,0,0,0,66
68,354,AKSARAY,SULTANHANI,18890,33915,4005,0,0,147,0,18943,0,0,84,0,12894,0,12,11,22
5,757,AMASYA,GOYNUCEK,56379,15750,9563,0,0,1001,0,2125,0,0,0,165,7225,0,3990,0,151
5,921,AMASYA,GUMUSHACIKOY,76074,6425,5973,0,27,314,0,7394,0,0,3418,280,1050,0,10336,249,230
5,845,AMASYA,HAMAMOZU,12454,3326,0,0,0,294,0,132,0,0,306,0,147,0,220,148,100
5,837,AMASYA,MERKEZ,214810,76280,17376,0,266,2576,0,10238,72,0,463,3861,25263,0,15285,1505,5308
5,903,AMASYA,MERZIFON,134400,38602,49578,0,49,1177,0,12322,0,0,3822,315,13616,0,12620,595,412
5,848,AMASYA,SULUOVA,80045,13075,5973,0,490,1237,0,13198,0,0,3795,718,42341,0,8015,354,123
5,877,AMASYA,TASOVA,153430,12436,7646,890,0,2141,0,230,0,0,2668,56,2316,0,3273,1652,2230
6,693,ANKARA,AKYURT,46448,36565,0,0,31,18912,0,259,0,0,95,13,490,0,0,368,651
6,689,ANKARA,ALTINDAG,14757,13934,0,0,21,1834,0,0,0,0,264,0,0,0,4,14,16
6,707,ANKARA,AYAS,127604,87170,14240,0,4,21787,0,2820,0,0,1505,165,7614,0,2450,952,3892
6,614,ANKARA,BALA,315772,259980,15700,0,16230,41299,0,2642,0,0,13100,154,10577,0,4082,224,110
6,749,ANKARA,BEYPAZARI,139382,91520,424,0,35,26498,0,952,0,0,419,35,375,0,8649,322,2097
6,782,ANKARA,CAMLIDERE,3164,1134,0,0,0,16,0,0,0,0,1917,17,0,0,18,41,22
6,641,ANKARA,CANKAYA,29802,12600,1655,0,0,10010,0,0,0,0,1540,0,239,0,0,1,4
6,761,ANKARA,CUBUK,108557,69390,0,0,701,4122,0,0,0,0,112,280,700,0,109,1092,3262
6,661,ANKARA,ELMADAG,35220,39340,3809,0,114,9716,0,0,0,0,926,0,175,0,25,98,215
6,651,ANKARA,ETIMESGUT,5599,5831,25,0,0,2153,0,648,0,0,172,0,85,0,0,0,1
6,509,ANKARA,EVREN,18339,16100,85,0,875,6235,0,0,0,0,12,0,28,0,165,707,30
6,625,ANKARA,GOLBASI,185176,89879,19580,0,1583,14482,0,0,0,0,19970,5,727,0,369,330,99
6,738,ANKARA,GUDUL,51800,52500,424,0,0,1766,0,0,0,0,0,0,6300,0,11,140,2804
6,593,ANKARA,HAYMANA,472157,134580,8656,0,2828,15604,0,4374,0,0,21379,4,2608,39,3511,389,2901
6,716,ANKARA,KAZAN,61216,22241,764,0,0,5583,0,3318,0,0,237,350,2549,0,352,2310,1407
6,734,ANKARA,KALECIK,139455,31537,60,0,270,5955,0,1932,0,1,1343,4,2837,0,6,126,621
6,689,ANKARA,ALTINDAG,5478,980,0,0,0,230,0,0,0,0,365,0,0,0,0,20,13
6,811,ANKARA,KIZILCAHAMAM,31549,9008,52,0,0,1060,0,0,0,0,25,130,4,0,504,669,284
6,653,ANKARA,MAMAK,11445,16415,169,0,490,7093,0,0,0,0,521,0,17,0,0,32,61
6,737,ANKARA,NALLIHAN,71095,48078,255,1400,0,618,0,0,46,0,3590,175,1331,0,350,245,1173
6,636,ANKARA,POLATLI,782765,265619,7844,0,80,10992,0,46462,0,0,7422,768,18500,12942,59521,505,318
6,701,ANKARA,PURSAKLAR,24343,14063,0,0,0,2768,0,0,0,0,188,0,77,0,7,7,21
6,531,ANKARA,SEREFLIKOCHISAR,66850,279790,1233,0,7350,132490,0,8395,0,0,2014,1050,4894,0,17644,0,140
6,682,ANKARA,SINCAN,158213,70595,3451,0,0,35331,0,9167,0,0,1841,700,5564,0,8540,105,1191
6,672,ANKARA,YENIMAHALLE,9718,6811,0,0,0,589,0,0,0,0,0,0,0,0,32,0,8
7,156,ANTALYA,AKSEKI,10920,1960,0,0,0,207,0,0,0,0,0,11,0,0,279,84,53
7,140,ANTALYA,AKSU,32962,835,0,0,0,0,25473,0,0,0,0,0,33677,0,476,868,21361
7,55,ANTALYA,ALANYA,38500,2800,0,0,0,29,0,0,0,910,0,193,299,0,1470,3654,7116
7,34,ANTALYA,DEMRE,4439,853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4941
7,147,ANTALYA,DOSEMEALTI,20965,10828,0,0,0,35,0,0,0,112,4576,105,7000,0,154,204,67
7,100,ANTALYA,ELMALI,124294,70181,227,0,0,36393,0,10327,0,0,2274,70,2863,0,210,1190,11340
7,43,ANTALYA,FINIKE,6615,1485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5135
7,38,ANTALYA,GAZIPASA,20426,2800,0,0,0,136,0,0,0,455,144,42,528,0,840,8456,7883
7,109,ANTALYA,GUNDOGMUS,10563,774,0,0,0,44,0,0,0,0,420,245,280,0,7,448,420
7,158,ANTALYA,IBRADI,2870,1890,0,0,0,115,0,0,0,0,0,0,158,0,15,706,9
7,47,ANTALYA,KAS,32418,4550,0,0,0,223,0,0,0,0,301,0,42,0,0,302,13493
7,54,ANTALYA,KEMER,686,35,0,0,0,0,0,0,0,0,0,0,8,0,0,0,65
7,126,ANTALYA,KEPEZ,17542,2836,0,0,0,0,0,0,0,0,1229,42,418,0,126,291,11864
7,102,ANTALYA,KONYAALTI,427,95,0,0,0,35,0,0,0,0,0,0,0,0,0,277,2090
7,167,ANTALYA,KORKUTELI,141322,225750,1702,0,4,40630,0,2514,0,0,5212,3570,6300,0,840,4340,6885
7,77,ANTALYA,KUMLUCA,13909,1925,0,0,0,304,0,0,0,0,139,0,57,0,4,378,20874
7,176,ANTALYA,MANAVGAT,72800,11122,0,0,0,0,15538,0,0,7000,5865,18,17803,0,119,462,2198
7,94,ANTALYA,MERKEZ,13,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,2450
7,163,ANTALYA,SERIK,82950,1337,0,0,0,0,43640,0,0,245,736,67,19508,0,791,3238,19600
75,1054,ARDAHAN,CILDIR,9863,21945,0,0,0,0,0,0,0,0,8066,14,0,0,0,0,0
75,1055,ARDAHAN,DAMAL,2720,5313,0,0,0,0,0,0,0,0,3913,0,0,0,0,0,0
75,988,ARDAHAN,GOLE,7508,11317,0,0,0,0,0,0,0,0,29090,36,0,0,0,0,0
75,1056,ARDAHAN,HANAK,7333,12174,0,0,0,0,0,0,0,0,1380,32,0,0,0,0,0
75,1033,ARDAHAN,MERKEZ,5285,13146,0,0,0,0,0,0,0,0,56583,28,0,0,0,0,0
75,1078,ARDAHAN,POSOF,1050,210,0,0,0,0,0,0,0,0,0,42,24,0,0,0,0
