CityId,DistrictId,CityName,DistrictName,MaxLentilArea,MaxBeanArea,MaxSunflowerArea,MaxChickpeaArea,MaxPotatoArea,MaxRiceArea,MaxCanolaArea,MaxSoybeanArea,MaxTomatoArea,MaxSugarbeetArea,MaxCottonArea,MaxCornArea,MaxPeanutArea,MaxBarleyArea,MaxOatArea,MaxWheatArea,MaxOnionArea
31,15,HATAY,YAYLADAĞI,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,8967.2727,185.4545,14236.3636,100.0000
31,17,HATAY,ALTINÖZÜ,100.0000,100.0000,100.0000,1625.4545,100.0000,100.0000,100.0000,100.0000,1680.0000,100.0000,14934.5455,100.0000,100.0000,2640.0000,100.0000,155640.0000,7320.0000
31,20,HATAY,DEFNE,100.0000,100.0000,100.0000,272.7273,130.9091,100.0000,100.0000,100.0000,436.3636,100.0000,100.0000,100.0000,218.1818,100.0000,1407.2727,29629.0909,100.0000
33,25,MERSİN,AYDINCIK,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,250.9091,100.0000
31,26,HATAY,SAMANDAĞ,100.0000,100.0000,100.0000,100.0000,621.8182,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,403.6364,818.1818,100.0000,100.0000,19483.6364,720.0000
31,28,HATAY,REYHANLI,100.0000,100.0000,100.0000,100.0000,22800.0000,100.0000,100.0000,100.0000,2280.0000,100.0000,96261.8182,50945.4546,10069.0909,229.0909,100.0000,73407.2727,50661.8182
31,30,HATAY,ANTAKYA,100.0000,100.0000,130.9091,316.3636,2116.3636,100.0000,100.0000,621.8182,381.8182,100.0000,100320.0000,63589.0909,370.9091,578.1818,338.1818,93087.2727,2530.9091
33,31,MERSİN,BOZYAZI,100.0000,100.0000,100.0000,272.7273,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,741.8182,100.0000
31,32,HATAY,KUMLU,100.0000,100.0000,100.0000,100.0000,5105.4545,100.0000,100.0000,100.0000,100.0000,100.0000,75785.4546,23116.3636,3610.9091,100.0000,100.0000,46134.5455,16145.4546
7,34,ANTALYA,DEMRE,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,316.3636,100.0000,1756.3636,100.0000
