CityId,DistrictId,IrrigationId,CityName,DistrictName,WheatCost,BarleyCost,OatCost,CottonCost,SoybeanCost,TomatoCost,CanolaCost,PotatoCost,SugarbeetCost,OnionCost,BeanCost,LentilCost,ChickpeaCost,PeanutCost,RiceCost,CornCost,SunflowerCost
31,15,1,HATAY,YAYLADA?I,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
31,15,1,HATAY,YAYLADA?I,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
31,17,1,HATAY,ALTINÖZÜ,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
31,20,1,HATAY,DEFNE,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
33,25,1,MERS?N,AYDINCIK,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
31,26,1,HATAY,SAMANDA?,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
31,28,1,HATAY,REYHANLI,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
31,30,1,HATAY,ANTAKYA,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
33,31,1,MERS?N,BOZYAZI,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
31,32,1,HATAY,KUMLU,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
7,34,1,ANTALYA,DEMRE,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
33,36,1,MERS?N,ANAMUR,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
31,37,1,HATAY,BELEN,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
7,38,1,ANTALYA,GAZ?PA?A,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
31,39,1,HATAY,ARSUZ,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
33,40,1,MERS?N,GÜLNAR,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
7,43,1,ANTALYA,F?N?KE,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
31,44,1,HATAY,KIRIKHAN,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
31,45,1,HATAY,?SKENDERUN,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
7,47,1,ANTALYA,KA?,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
70,49,1,KARAMAN,SARIVEL?LER,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
1,51,1,ADANA,KARATA?,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
31,52,1,HATAY,PAYAS,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
7,54,1,ANTALYA,KEMER,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
7,55,1,ANTALYA,ALANYA,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
70,59,1,KARAMAN,BA?YAYLA,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
